Sample Name	Name	Start Mass - 1	End Mass - 1	Expected RT	RSD%	20191017_CS00000004-1	20191017_CS00000004-2	20191017_CS00000004-3	20191017_CS00000004-4	20191017_CS00000004-5	20191017_CS00000004-6	20191017_CS00000004-7	20191017_S00041674	20191017_S00041675	20191017_S00041676	20191017_S00041677	20191017_S00041678	20191017_S00041679	20191017_S00041680	20191017_S00041681	20191017_S00041682	20191017_S00041683	20191017_S00041684	20191017_S00041685	20191017_S00041686	20191017_S00041687	20191017_S00041688	20191017_S00041689	20191017_S00041690	20191017_S00041691	20191017_S00041692	20191017_S00041693	20191017_S00041694	20191017_S00041695	20191017_S00041696	20191017_S00041697	20191017_S00041698	20191017_S00041699	20191017_S00041700	20191017_S00041701	20191017_S00041702	20191017_S00041703	20191017_S00041704	20191017_S00041705	20191017_S00041706	20191017_S00041707	20191017_S00041708	20191017_S00041709	20191017_S00041710	20191017_S00041711	20191017_S00041712	20191017_S00041713	20191017_S00041714	20191017_S00041715	20191017_S00041716	20191017_S00041717	20191017_S00041718	20191017_S00041719	20191017_S00041720	20191017_S00041721	20191017_S00041722	20191017_S00041723	20191017_S00041724	20191017_S00041725	20191017_S00041726	20191017_S00041727	20191017_S00041728	20191017_S00041729	20191017_S00041730	20191017_S00041731	20191017_S00041732	20191017_S00041733	20191017_S00041734	20191017_S00041735	20191017_S00041736	20191017_S00041737	20191017_CS00000001-1	20191017_CS00000001-2	20191017_CS00000001-3	20191017_CS00000001-5	20191017_CS00000001-6	20191017_CS00000001-7	20191017_CS00000001-8	20191017_CS00000001-4
IS Cer_ac 35:1; [M+Hac-H]-	IS Cer_ac 35:1; [M+Hac-H]-	610.5391	610.5441	7.16	11.69975044	8046290.822	8966323.006	7613697.595	8181363.374	7051049.263	7944670.435	8480183.988	8322067.734	9226750.95	11379043.44	8113839.828	11068354.86	7453290.247	5255051.971	6047667.566	7788795.503	7782716.522	8071623.788	7908150.769	6769488.214	6784926.701	6680402.637	7758676.854	8092342.411	9940133.205	7002417.602	8564930.476	6841321.648	6348390.767	7997171.812	7481161.218	9309317.461	10150875.38	8650650.391	6324572.297	11466868.48	9476364.86	9012829.062	9507866.282	8086743.027	8088609.05	8142886.71	6787143.395	7709067.516	9115594.943	6899795.447	10533381.05	7002232.302	7675752.817	7179511.452	8139605.999	8113519.024	7885503.541	7643066.321	9588347.793	9179998.853	7260521.748	6769627.585	6902015.595	9431327.186	12788493.69	8047496.688	7975146.463	8995947.746	7145693.652	7227561.657	6407576.056	9440031.584	10020611.95	6761933.824	5964495.752	7278978.71	6393197.265	6080987.429	5543229.027	6116464.976	5154588.968	5255838.094	5651804.59
IS Cer_H 35:1; [M-H]-	IS Cer_H 35:1; [M-H]-	550.518	550.523	7.16	11.45294593	520923.9803	523736.1686	512275.0919	508851.6991	491024.2254	552507.3398	535549.6438	531959.0096	654175.5542	650549.311	504350.9819	643082.9388	487703.7936	327141.4688	385116.1536	512486.4355	487752.7685	550301.9212	484368.2967	442070.052	427137.2871	514528.9662	487532.3098	553367.3659	675202.6442	505860.5554	549329.2168	465686.7386	429003.5072	490405.9059	474080.6408	559406.4868	704915.89	541957.7039	422876.6099	707803.4334	597220.5261	568829.1492	599910.6791	518106.9834	531356.152	520721.1546	461398.489	487698.1198	589955.6711	448006.0737	682067.0094	448965.0426	472095.6189	427019.1188	536443.266	488222.9489	472449.5246	504148.0055	693817.0235	573097.2401	486813.8736	461270.9053	447513.0601	588103.1797	711343.7128	516070.2337	494643.4471	582977.6014	458123.8378	490241.0195	380620.1529	567244.4798	656492.7891	423816.7718	395877.5485	473566.058	464997.1644	439113.9789	413795.9751	413996.6967	344104.5721	350632.3165	408663.0097
IS DG 34:1;[M+Hac-H]-	IS DG 34:1;[M+Hac-H]-	653.5337	653.5387	8	13.15350555	955036.0834	1029713.874	876999.4696	906343.802	1140783.651	1066580.36	1045952.976	1915104.214	2565992.453	3255826.284	2118321.069	802064.6544	2491305.525	2365019.967	4615187.372	3227577.88	2821971.633	4253143.257	2927495.067	2708923.822	1553017.487	1690412.842	3427990.773	1977886.133	1800260.24	4217091.701	2028028.475	1987653.19	3327580.306	4926281.873	1865056.072	2076078.763	2843661.385	2025614.772	3011664.673	1173661.263	2194387.834	2161573.654	1379684.765	1320183.987	4955863.99	3588249.021	3626829.284	1702200.157	3554280.56	8574562.616	1116457.584	2236929.575	2415416.434	809302.0036	5452425.88	1396375.37	4502379.022	3732320.76	1998352.278	3070318.943	2079400.244	3865168.761	3809233.394	3030276.121	2297993.449	2365628.875	2930769.023	2327474.64	4056020.302	1160260.837	2833239.156	2221363.038	2479756.811	1902557.357	3727190.979	2280697.41	2123987.852	1880679.321	1602123.522	1671973.92	1721128.979	1644863.36	1852834.226
IS LysoPC 17:0; [M+Hac-H]-	IS LysoPC 17:0; [M+Hac-H]-	568.3589	568.3639	1.95	11.94458721	472615.8545	480323.4629	481057.7428	483678.6072	477305.7529	483726.2146	459624.2201	1039648.391	850924.9213	1153817.153	835136.9887	1183055.53	833694.3528	575697.311	740061.7077	875057.8273	799693.9048	877435.258	986350.3259	921781.279	856090.3268	692056.7315	901463.6407	927456.0013	952332.265	787138.219	950139.0913	642418.4188	763673.5524	787454.0879	700910.9174	911189.5776	1029002.823	853991.9308	850741.98	967787.0938	833791.8643	1063659.294	1063717.856	924385.9901	1023493.128	879562.1944	655621.1104	758370.42	757212.84	753796.3126	983498.7833	795615.6261	1135147.754	770826.6416	899380.4987	803792.092	835580.5587	830878.4789	946213.1253	779570.6359	824658.7621	735121.1132	753866.5343	763984.4482	965536.5544	583670.9584	591970.1129	713486.3307	595241.6471	568954.6954	636999.7637	901010.7151	992417.4096	511342.643	630102.4303	498712.7817	480131.8569	405827.5471	371072.4209	409311.2146	422683.8257	348723.4808	425543.6854
IS MG 17:0;[M+Hac-H]-	IS MG 17:0;[M+Hac-H]-	403.304	403.309	3.2	10.41755506	588021.1735	567251.8477	579484.2326	541852.3695	584022.2127	581987.1936	633552.3743	1123896.051	991579.2897	1630349.031	992732.5672	1419312.795	932281.1917	621394.613	856978.4117	1044631.212	947408.7145	1086607.685	1066531.912	1156229.577	983483.6632	1035435.554	1077202.803	1182187.61	1295194.521	1064635.339	1138270.138	875608.1232	881481.6256	1188217.245	837965.9135	1200670.929	1316214.549	1045970.756	1208746.816	1373189.796	1137654.467	1341050.028	1123761.14	1173564.968	1121551.766	1154965.988	815970.1164	1057051.643	1198223.299	918091.657	1297120.214	973891.424	1242026.682	893338.1372	1032258.826	1119331.458	989296.289	933651.6704	1257436.801	1161890.746	1037666.91	984491.8619	984140.1018	983540.5754	1228674.703	1080536.138	1161231.15	1177053.523	974396.7338	939858.8862	772453.8692	1093877.627	1297913.439	955906.02	893624.9828	603268.6627	581628.506	490303.0171	516667.5868	465229.2	477215.9184	459127.7666	533901.516
IS PC 34:0;[M-Ac-H]-	IS PC 34:0;[M-Ac-H]-	820.6048	820.6098	7.4	7.960541951	358428.7434	380415.4204	326979.8603	324350.4615	295482.976	337496.3344	331792.3254	391629.2416	366258.0647	445850.5184	344509.1993	465160.9749	368167.6526	290487.1637	383117.2223	323061.2231	329286.9746	414513.6621	359627.4667	314549.513	360028.9049	299833.8576	371693.2904	343937.0238	408954.6663	390726.1587	398060.2114	301570.1135	393501.4617	388696.8039	357211.3352	427201.5259	519322.8804	348774.4196	327822.4408	445214.3212	412990.9562	396538.5325	404049.8143	340921.126	464225.8646	375323.3902	370243.5774	318309.4919	374398.3513	448088.172	491010.4113	393472.7625	441531.9907	318291.515	420936.2713	282863.8021	382105.3951	346145.7782	440471.9532	397517.6002	347982.948	332131.0018	391572.9371	443798.1206	532598.2305	345632.4075	336876.3117	386518.8386	362351.3403	326330.1413	255940.24	412278.1427	430310.7639	284662.9583	313558.3825	279250.9534	266853.1299	287049.1098	268496.3785	268784.6927	235908.3279	225636.1266	262139.3004
IS PE 34:0 ;[M-H]-	IS PE 34:0 ;[M-H]-	718.5367	718.5417	7.3	9.617373648	1357197.733	1242252.306	1336602.957	1087772.771	1281181.979	1197448.722	1143229.369	1542802.656	1664267.794	2113112.032	2069295.792	1810811.917	1648767.481	1012562.14	1026112.339	1816043.055	1742275.359	1321467.921	1587270.126	1196872.722	1403814.881	1129623.729	1363081.851	1580148.814	1917320.655	1083071.182	1554083.986	1309481.921	1343768.57	1453194.61	1129532.404	1632952.322	1989244.418	1719534.943	1221145.403	1788846.922	1520188.427	1487681.443	1369251.641	1574473.285	1205204.904	1089734.524	1426567.599	1208324.294	1434576.275	1524264.695	1370071.941	1789157.598	1459647.768	1136105.693	1901885.742	1549974.539	1658396.744	1283732.604	1991769.263	1644821.423	1862723.115	1751958.873	1194292.675	1775134.369	1988666.522	1338238.558	1478294.854	1755799.194	1300755.297	1728020.703	1416283.266	1924354.017	2421352.109	1481137.824	1234575.501	1205812.805	1145259.073	1134138.724	1013094.379	1146247.832	984810.052	895645.9563	1071760.703
IS PG 34:0 ;[M-H]-	IS PG 34:0 ;[M-H]-	749.5308	749.5358	6.3	8.346338227	988736.731	1300198.675	1461143.382	1395210.834	1301369.682	1157588.856	1255107.653	1057071.201	1481419.183	1775675.023	1329570.614	1923032.988	1234816.805	829594.9108	909624.0961	1137560.869	1108092.967	1378166.859	1481627.517	1099001.973	1605249.024	1520809.191	1036670.241	1571511.138	1453472.993	1481473.566	1583822.156	1013878.572	1059412.325	1323428.33	1280080.148	1758811.885	1902357.892	1578159.362	1447892.859	1811774.192	1509862.599	1300897.709	1866482.767	1082836.333	1293194.048	1059317.696	768266.7186	962524.9003	1024953.731	1171911.785	1442214.599	1019757.358	1101885.235	993002.6754	776407.9421	906527.561	907045.0676	823156.4863	1100262.235	1126938.583	749887.0426	1032716.788	808993.1708	1215862.241	2006856.265	1416100.035	1400596.089	1530295.011	986759.7543	1398887.194	906422.6097	1613148.695	1682798.794	976962.9889	870012.6277	936630.3825	903501.582	828495.416	774203.5166	816084.23	785942.9894	772446.4475	738936.9909
IS PI 37:4 ;[M-H]-	IS PI 37:4 ;[M-H]-	871.5317	871.5367	5.57	27.16427481	24786.07629	25706.22148	25599.73247	35436.79122	26178.86008	30843.3139	24226.24432	26314.60896	30248.3491	39523.82007	31618.34265	34398.79836	29730.10303	23204.97138	24578.2893	22376.06889	25422.12115	34083.74238	27194.65796	35135.39842	47825.71064	28592.23296	33044.88793	53073.52796	29816.24319	26965.68412	27060.07959	24787.77676	35834.78119	22051.57776	42392.06807	35723.26648	37100.08139	41923.93985	37797.88976	30272.05661	28121.23805	21619.67124	34522.46068	20615.48439	17399.91158	14611.66775	15262.51095	12782.20824	15733.74719	25528.5239	27667.1691	20948.69954	28438.42976	17005.70793	19725.82939	17384.9452	26728.58755	14428.81841	27737.34537	18747.08669	32776.69981	38491.09138	20161.11641	17883.60605	35894.46196	32926.25264	20152.26963	49115.51343	35924.36179	34683.74784	24688.3966	33011.12002	40432.03203	38255.42758	24908.66366	25810.9469	29494.06996	15924.55966	14474.41647	20595.7875	31630.14086	21834.26713	20049.96416
IS PS 34:0 ;[M-H]-	IS PS 34:0 ;[M-H]-	762.5266	762.5316	6.3	34.61089492	147475.7014	145012.3769	124796.9235	157008.4811	147392.2612	126481.3925	132090.7478	617108.2397	692426.2052	795424.0033	553046.5673	567570.398	514478.2631	652330.9423	687535.586	855913.2719	581449.062	858302.9906	561839.3653	495703.4363	541261.8099	1703131.674	646358.8332	689993.4151	395819.7769	640418.539	360880.8954	1016561.855	839759.0754	583625.7671	436675.0199	461338.6445	743708.3145	733765.3141	681656.3196	208539.0407	480756.9869	684620.1505	349232.6578	606778.9612	565632.5549	404576.3458	745942.324	355603.233	695575.8001	840414.7338	357858.5223	587365.1229	565728.1984	212494.2875	1156463.282	481199.8015	633970.3446	587299.3158	298693.5328	509197.0882	683366.9944	601211.8228	768722.9715	568637.5111	593675.1149	544569.8967	643073.9375	460813.1508	690337.8477	975849.3435	554872.3056	548807.188	742874.6086	891792.2748	796527.356	545214.3167	600667.9331	591336.976	901664.4314	434232.2348	430767.7691	291021.4772	427898.5245
