	compound_name	Ion	RT	mean.RSD%	20190913_S00041674	20190913_S00041675	20190913_S00041676	20190913_S00041677	20190913_S00041678	20190913_S00041679	20190913_S00041680	20190913_S00041681	20190913_S00041682	20190913_S00041683	20190913_S00041684	20190913_S00041685	20190913_S00041686	20190913_S00041687	20190913_S00041688	20190913_S00041689	20190913_S00041690	20190913_S00041691	20190913_S00041692	20190913_S00041693	20190913_S00041694	20190913_S00041695	20190913_S00041696	20190913_S00041697	20190913_S00041698	20190913_S00041699	20190913_S00041700	20190913_S00041701	20190913_S00041702	20190913_S00041703	20190913_S00041704	20190913_S00041705	20190913_S00041706	20190913_S00041707	20190913_S00041708	20190913_S00041709	20190913_S00041710	20190913_S00041711	20190913_S00041712	20190913_S00041713	20190913_S00041714	20190913_S00041715	20190913_S00041716	20190913_S00041717	20190913_S00041718	20190913_S00041719	20190913_S00041720	20190913_S00041721	20190913_S00041722	20190913_S00041723	20190913_S00041724	20190913_S00041725	20190913_S00041726	20190913_S00041727	20190913_S00041728	20190913_S00041729	20190913_S00041730	20190913_S00041731	20190913_S00041732	20190913_S00041733	20190913_S00041734	20190913_S00041735	20190913_S00041736	20190913_S00041737	20190913_CS00000001-1	20190913_CS00000001-2	20190913_CS00000001-3	20190913_CS00000001-5	20190913_CS00000001-6	20190913_CS00000001-7	20190913_CS00000001-8	20190913_CS00000001-4	20190913_CS00000004-1	20190913_CS00000004-2	20190913_CS00000004-3	20190913_CS00000004-4	20190913_CS00000004-5	20190913_CS00000004-6	20190913_CS00000004-7
1	ACar 20:3		1.66	18.07019517	19797.71171	27243.47456	17136.21947	24947.00957	28050.15963	10611.56466	37811.16146	55616.84251	48986.02717	45508.64319	48786.01255	23343.44398	57462.49177	28530.98405	11393.26866	93455.17786	18058.62002	21116.14728	52905.79918	16971.05781	26062.53903	33951.58727	34065.7031	40618.49308	14030.24498	14489.71645	13022.93808	16366.80019	17023.1146	18185.93482	11064.48935	25084.39546	24238.30358	43472.98859	26475.83006	16073.6357	20239.49465	29146.25782	267662.1202	6156.411863	39637.90183	9562.357671	3625.492357	36678.01365	9643.089203	106780.3224	6619.092382	14271.62573	75635.41415	50116.55386	38964.51854	54844.78132	25352.78115	27464.31779	9948.839812	16036.80604	16994.39738	41181.35826	23833.15061	48427.94788	17655.11981	15128.13772	44768.5249	82183.28382	28569.81525	35158.66399	24196.52443	21303.2928	21593.59558	23731.03349	23663.18777	23901.84376	19161.98932	15885.89592	7794.112619	11372.67153	11113.61388	9686.878411	10945.86716
2	Cer-NS d30:1	 [M+Hac-H]-	5.61	7.031060327	28233.6375	27481.11896	26069.74874	15384.3963	22881.60879	22756.3649	25221.35021	36167.57639	22290.63309	18862.87775	25667.26486	29521.11463	31509.79571	25422.97233	34823.5384	33187.33009	21968.73169	20044.26715	26431.40541	24349.66733	22235.58636	28540.63723	23956.80122	34898.06591	22311.12482	20729.19036	15239.72886	19472.62501	23684.37469	27597.5936	29043.15976	27414.95129	24585.63956	37394.32148	29844.23503	25096.83352	26349.03098	14823.43341	22521.51032	31258.91212	17029.99249	25769.3143	30810.14927	19889.13265	24112.19844	21811.37076	25552.83191	16948.95944	23600.44859	20916.30703	19206.42703	34827.19856	19849.81303	25767.61953	24925.36176	20639.05613	25856.69211	26647.93535	22105.15908	20448.03673	22073.62135	18094.61012	26497.6639	25533.89208	23552.09591	25158.56174	24757.36229	22760.29259	26775.79609	27043.21209	23885.72768	27540.23731	16969.35918	22803.66508	22540.01375	26942.08431	20497.30542	23685.58258	25585.5172
3	DAG 40:4	 [M+NH4]+	8.43	23.54529473	5500.784164	5853.433855	8017.611721	7516.985413	1695.903541	4826.952694	25271.02708	22705.40055	8991.881576	8318.577217	23730.84159	7406.191589	22116.96436	6939.136485	22811.16317	27966.26157	2926.835079	6065.406159	21665.58254	1629.595461	3618.478727	23701.39647	8376.174025	3649.654652	2439.951671	3837.507584	3473.756722	18636.03194	493.5966907	4387.139934	7069.739318	15120.72765	5291.754987	17262.30676	11454.61609	5275.091424	3320.441955	12370.16609	99223.6945	2970.641697	5501.900191	3883.51684	3798.596906	18719.89774	1624.017438	30827.8625	17224.65015	9997.283755	11426.39953	10251.67386	16157.89501	7954.744498	6963.718243	9329.164246	7350.185575	2232.246964	3721.829877	22775.83762	3004.403202	11678.54255	4188.965247	2359.76624	6992.64515	29211.68444	11167.21758	10725.52466	7217.959509	7563.178759	6395.188513	10521.87772	6203.874265	8606.721758	3398.141633	1115.198209	1094.2175	171.0181568	424.3764485	2610.999867	1041.29103
4	PC 20:0	 [M+H]+	2.27	44.84635842	1092.270137	6710.012711	1233.068494	2561.510116	3367.117383	1735.515514	1090.100701	2037.797241	5030.475496	8812.62009	1174.791099	1485.499474	11260.22686	3917.679901	11117.99194	9589.232233	2476.002309	1522.262611	3686.347509	729.7261904	5227.742765	9007.382613	60444.38251	4214.613896	2414.225121	1266.64671	1779.803348	6744.122159	607.9528446	609.4468567	1216.244954	144883.9852	5385.217332	783.5899356	5544.323299	3554.823651	44384.92014	34808.6406	30476.39804	69746.26836	6783.874203	4742.92676	45637.629	3092.829116	2522.858534	7421.518134	3342.37855	3995.603567	23327.91691	11004.73138	2684.617222	8356.436524	5521.546448	5142.971892	420.4545093	4166.525733	2875.654018	5328.551291	1974.187307	4991.156868	2232.792655	1444.96986	4677.532226	2973.826631	2362.665965	1464.553285	2327.895838	3048.900454	1378.002697	1997.74736	4964.74755	2749.281691	1050.290725	241.9127573	1153.656006	995.7594699	59.80125313	191.9520178	789.518622
5	PC 21:1	 [M+H]+	2.47	70.03928674	1253.709873	1086.981765	851.3335001	1030.895293	505.1761851	168.7231152	2411.595818	2270.631592	1697.539721	2484.157555	1219.992766	1381.133844	4282.9296	5012.367217	6589.263076	5306.251503	4370.206238	524.3324031	5268.94167	737.8324537	2300.506283	4166.581564	62424.85033	1942.445627	304.2645761	778.7119453	356.6862774	2904.875165	781.814196	259.8433845	623.6754032	82603.51472	3959.095872	10103.00979	6887.660121	475.8041042	15724.97442	33969.83316	31542.25185	39646.5442	5404.209207	4669.551539	35765.08668	4556.39494	494.1802249	3828.208884	1422.584981	7115.614622	26409.17765	4623.389368	3589.248158	8629.98865	2013.283769	2394.587788	390.2018152	5627.608067	733.8233561	3340.962994	791.5341363	3103.900181	208.8790996	1316.957514	2117.428927	4937.936683	2243.444479	1224.461561	472.1711416	641.2879575	585.6366501	320.0126449	2501.987517	1623.286908	430.6777782	627.1006995	127.9145125	326.0607012	495.4528255	89.60733347	65.78153791
6	PC 30:3	 [M+H]+	4.65	51.29168677	168.0980083	550.8602469	1119.437534	522.2887383	1006.4588	891.4738123	3053.047584	3013.15404	3437.980004	3171.488702	1917.283157	1717.12565	6046.042691	13994.48539	2325.210078	2914.053668	1230.737955	3076.123769	2122.193387	1457.84204	1399.977702	2951.649752	10090.04326	1044.893526	1518.597849	1769.495005	381.6492307	2424.532751	332.2061152	1570.568434	2855.686844	19310.71092	1012.571496	8925.489877	1104.773768	2443.605515	1909.80297	1644.946254	103848.313	12901.92748	3160.735719	2994.240954	9597.900282	4218.979286	1461.942698	1072.05333	2069.833537	1103.591154	1788.170206	2590.180565	713.4304134	2994.730375	1535.36865	722.656653	1219.293024	1694.095834	1324.238708	2707.555713	831.3401872	1270.950101	1204.488404	774.812305	437.350381	5857.01808	1732.125529	1171.227567	2456.371205	2515.841158	63.93957677	1121.840947	1481.5979	1997.783565	1082.066934	172.5893463	581.9098236	138.3486171	514.5620433	910.4520404	254.2296777
7	PC 42:6e	 [M+H]+	7.85	20.04013112	112949.2234	95404.82643	158646.9744	62883.27173	74659.00829	74223.73219	255489.0162	215633.0488	144728.9867	134670.5356	130052.3893	105260.6231	388810.9665	205275.7493	221698.6367	286090.3188	116807.7522	79883.51112	133764.8755	57941.66261	112909.3859	198688.7942	74121.9762	80310.53717	53489.27701	79359.73164	74775.17984	167101.4622	77063.95546	56658.14698	58310.90663	87711.30625	95889.84812	156254.8933	109742.9938	84500.44506	148496.5111	109857.4702	410041.2198	73282.06055	102856.2313	66926.96602	74967.03196	175494.2236	68459.14195	237862.6258	123186.7204	149329.5335	83480.15109	142485.1398	135019.1165	116946.7839	92149.04668	125623.836	50843.43208	94771.44806	86100.5147	203843.356	85144.35416	95179.16314	62315.09291	47139.1075	139305.9512	277902.0396	79387.89711	140823.8466	168293.7729	135156.5561	116436.9472	128042.8613	124988.1883	115605.9649	81433.54326	43206.57749	50971.23489	57798.36725	55212.92393	35536.23492	86135.71115
8	PE 38:2	 [M-H]-	7.54	22.11462733	57566.09881	56188.1785	32020.31117	102546.2741	49881.34273	116929.4931	170353.4685	232995.1877	150453.1631	200681.5118	74559.04534	46716.93331	42490.60189	58840.07398	34360.01037	114798.9963	35261.39547	46542.38777	62004.23753	63568.39848	88101.36947	178145.6656	61521.16936	46267.25057	38746.62616	38854.37676	63611.20422	66073.39219	17531.3069	49004.92511	34671.95444	33353.0758	29690.01267	50342.2854	48241.57247	123267.3222	61124.0111	47041.99091	333286.2636	43219.61029	200509.4157	87691.22742	82430.38979	91636.28268	67018.35241	140272.7029	96222.54922	63776.02882	84512.27782	104160.7699	148949.5224	126150.6725	68278.16371	71860.45049	108862.3863	125869.6711	97178.07575	102625.7125	109873.3505	148773.0872	116204.7776	62745.67466	93154.64025	159099.6535	82013.98469	80852.10341	90906.95676	76494.68381	93127.96132	103497.1494	121770.9754	138416.5275	27662.20411	24330.15695	43497.16049	25850.48368	44024.27876	31436.26077	29237.64171
9	PG 34:1	 [M-H]-	5.95	13.62450436	27353.60741	42694.93951	31973.80151	54706.43607	28413.66396	70774.96831	64803.1553	62841.03206	51133.70857	45507.50499	75020.04487	55174.81018	31805.09991	77585.92659	51226.58911	77999.37698	50284.5547	33605.7259	53617.70812	44709.35359	68779.78184	171851.5485	88724.35049	61116.12994	23451.70106	47560.2755	43189.90264	52178.19758	11935.63968	25925.81205	26718.90826	45395.56511	22599.23752	77905.00782	48610.41902	71427.38669	32473.83835	74097.66302	130801.9118	36550.30295	65045.25424	37681.73559	44035.5147	41856.32579	17454.2595	81214.059	59856.17366	38136.0267	70109.55459	50081.01466	83897.513	121510.8156	21012.6621	45233.12822	71680.41771	50263.68267	44510.5763	127392.5827	45101.47644	69196.10672	34570.50161	49378.32077	62446.23199	135364.3523	59233.46372	65385.96285	47142.47414	62030.9149	73119.92355	56388.84405	53708.69692	67425.27681	23000.79184	20707.80962	22745.16473	4210.119431	2800.52139	21238.11741	15226.90915
10	SM d37:5	 [M+H]+	5.3	20.09864498	651.2786478	1598.109458	637.1421858	2858.985	2261.067218	1750.009496	3128.375681	1577.40414	3452.837127	1033.593933	4107.194468	1405.998072	1635.152415	6164.83268	4256.33618	2379.018167	565.0570912	2144.552182	3223.663391	514.8548291	2131.246745	5634.919212	1551.070146	4153.562221	1375.387738	1416.319105	2113.296379	3780.305231	234.9522973	272.3491721	1169.948796	3527.558586	2576.628872	1505.026738	2871.819929	13361.86359	1608.746198	2091.993217	70712.62033	1997.544439	3564.592401	4308.591705	2191.122786	3392.499812	1395.151951	3406.710083	3794.72525	2912.440011	3342.908509	10115.65128	7639.706913	5027.180334	941.4786625	1420.280856	1439.67074	1507.042908	1299.44874	5412.061821	1871.858053	3483.777265	1360.409689	890.5186771	4612.336187	5225.577358	2966.55081	2692.251349	3327.836147	2563.062129	1918.912609	3073.758798	3369.295784	2023.221102	608.8191738	803.6967763	666.6423292	747.206736	122.4243181	448.5195812	320.1695929
