Sample Name	Name	Start Mass - 1	End Mass - 1	Expected RT	RSD%	20190913_CS00000004-1	20190913_CS00000004-2	20190913_CS00000004-3	20190913_CS00000004-4	20190913_CS00000004-5	20190913_CS00000004-6	20190913_CS00000004-7	20190913_S00041674	20190913_S00041675	20190913_S00041676	20190913_S00041677	20190913_S00041678	20190913_S00041679	20190913_S00041680	20190913_S00041681	20190913_S00041682	20190913_S00041683	20190913_S00041684	20190913_S00041685	20190913_S00041686	20190913_S00041687	20190913_S00041688	20190913_S00041689	20190913_S00041690	20190913_S00041691	20190913_S00041692	20190913_S00041693	20190913_S00041694	20190913_S00041695	20190913_S00041696	20190913_S00041697	20190913_S00041698	20190913_S00041699	20190913_S00041700	20190913_S00041701	20190913_S00041702	20190913_S00041703	20190913_S00041704	20190913_S00041705	20190913_S00041706	20190913_S00041707	20190913_S00041708	20190913_S00041709	20190913_S00041710	20190913_S00041711	20190913_S00041712	20190913_S00041713	20190913_S00041714	20190913_S00041715	20190913_S00041716	20190913_S00041717	20190913_S00041718	20190913_S00041719	20190913_S00041720	20190913_S00041721	20190913_S00041722	20190913_S00041723	20190913_S00041724	20190913_S00041725	20190913_S00041726	20190913_S00041727	20190913_S00041728	20190913_S00041729	20190913_S00041730	20190913_S00041731	20190913_S00041732	20190913_S00041733	20190913_S00041734	20190913_S00041735	20190913_S00041736	20190913_S00041737	20190913_CS00000001-1	20190913_CS00000001-2	20190913_CS00000001-3	20190913_CS00000001-5	20190913_CS00000001-6	20190913_CS00000001-7	20190913_CS00000001-8	20190913_CS00000001-4
IS CE 17:0; [M+NH4]+	IS CE 17:0; [M+NH4]+	656.6335	656.6345	11.2	30.72643675	10736.26073	13046.99848	21566.07141	19178.06513	20700.62762	12820.51667	11584.17729	7239.539881	6090.563176	5924.152915	8343.4217	6654.860657	4856.517301	2596.018181	4220.790449	3419.899752	3401.227755	4976.612883	6292.272373	2438.417386	5268.479567	3347.568849	2636.069345	6109.291833	6903.761984	4384.8785	8822.633928	7390.348387	2952.02196	4964.240898	6884.883328	7991.766102	9622.049386	6292.197005	3523.231551	9955.776393	10682.98347	9244.146655	3338.181318	6133.020337	2883.076581	5881.090863	8375.957076	6526.5133	7434.10787	1321.185469	8372.703177	4821.052631	10036.50666	9030.281599	4076.59802	6970.229603	2617.517634	5985.228066	4181.951459	3825.708559	3318.211813	4910.873206	3594.736567	5813.899683	5553.753002	7463.766616	11653.00536	8824.690654	2790.379989	5517.737072	4715.79883	7356.43068	8702.705309	4661.206467	2464.004166	8626.842641	4128.855646	5389.742629	8133.358604	8664.97821	4274.433525	5327.872079	5393.826274
IS Ceramide 35:1;[M-H20]+	IS Ceramide 35:1;[M-H20]+	534.4985	534.5495	7.26	15.11573478	2647098.005	2333363.382	2670141.771	2577556.061	2819647.305	2507806.315	2137392.263	2234698.208	2057176.509	2867265.48	1988847.575	1634520.316	1411694.85	868629.5351	1386594.558	1970831.504	2185339.743	1766000.454	1801206.737	1675334.777	1781698.663	1759717.818	1603612.657	2209900.048	2192787.311	1481805.946	2199863.482	2024992.341	1427086.064	1565221.15	1437057.047	1728565.676	2233581.16	1598207.757	1536724.874	2264227.511	2491623.981	2021242.181	1990612.688	1873837.878	1494410.521	1764753.454	1755924.787	2020471.37	2138059.838	1793670.256	2492870.146	1398820.356	1803538.937	1337788.931	2035319.172	1650110.283	2009764.914	2026958.11	2227058.689	1927369.157	2146417.511	1423861.721	1466153.582	1872871.52	2546969.615	2188833.119	1844879.757	2021955.795	1528054.417	1305708.033	1529337.816	2545424.579	2045166.214	1492888.871	1035164.994	1673492.677	1733702.921	1587186.793	1256133.109	1212351.388	1228112.757	1289515.092	1341844.302
IS D31-TAG	IS D31-TAG	918.3533	918.3553	10.47	17.46201153	470065.3108	498700.4359	458404.9073	426366.8213	488727.2876	437458.9095	388239.1243	136707.4277	109108.1588	50270.2633	65448.99636	281519.3631	43047.99842	33557.01796	18376.78239	72195.36541	30704.03919	26053.19227	79112.33288	32346.85852	68005.07387	42825.31477	26083.25199	90438.66794	91356.72769	49622.23166	91075.12361	62623.68088	4735.07756	14311.19977	99901.31611	110310.5631	74794.37368	68682.59493	44069.05123	151051.5192	133426.18	100960.9274	123966.3565	105162.5703	68198.93302	24214.44605	42586.78528	78743.6908	39299.34444	5353.917604	309861.7676	82887.7777	94485.99523	229136.9952	18837.35322	63220.66198	14587.58544	20676.81281	64807.82397	29196.93462	42603.23817	39449.31769	28425.70027	58590.00556	174998.6623	36413.04191	63174.6039	87028.14826	11954.74051	111631.6167	45683.74068	78630.82754	127105.4946	78861.43093	17079.16378	65145.2095	58125.91644	55933.63897	51921.68217	46835.84036	51726.62285	38632.77907	40484.47605
IS DG 34:1; [M+NH4]+	IS DG 34:1; [M+NH4]+	612.5556	612.5566	8.1	11.35695848	580445.7709	564064.7192	554107.7864	558002.385	549565.3115	529617.4884	539540.6638	611561.6386	1265248.018	1701016.827	787586.9935	197439.0995	1201557.313	1125903.022	2496456.866	1436372.813	1246497.297	2181989.955	1249577.563	1154605.433	496466.8688	917613.3426	1773095.843	849753.7933	761991.1075	1727067.485	695364.7037	1010147.309	1768659.545	2656387.786	649603.8226	873665.1055	1245353.337	778032.3616	1251654.878	510419.2585	820710.6424	750439.7921	491608.098	513971.3578	2155376.554	1423748.999	1526205.472	841125.7746	2077647.786	5412144.812	330096.2994	716286.1037	950970.9155	274713.2145	3474544.056	606777.6053	2235601.393	2148195.665	809103.8877	1460137.056	1122978.426	1520335.572	1897784.291	1341097.339	919907.3267	1301331.843	1246437.155	1009839.023	2261269.269	528733.366	1457239.523	865422.4061	940521.2319	684681.4471	2223804.056	1341017.617	1350890.73	1123375.076	1091170.889	1102538.268	1030310.894	1003288.465	1181280.502
IS lysoPC 17:0;[M+H]+	IS lysoPC 17:0;[M+H]+	510.3555	510.3565	2.1	9.9370309	4007007.496	4034972.887	3829579.948	3942462.394	3964804.552	4048865.841	4036132.445	4014084.485	3920214.449	4811434.454	3673245.378	3678528.401	3105019.709	2116921.86	3340419.919	4320363.023	4073244.121	5310388.866	4461570.272	4064361.564	3855385.184	3537856.361	4634366.603	4550057.914	3658465.804	3732921.804	4735347.225	4395776.312	3640998.147	3213392.759	4364739.067	3572085.863	4646394.041	3122455.065	3573708.991	4155611.142	4391911.58	4206884.701	3873439.48	3139288.488	3290672.809	4230540.893	4015588.196	3794216.96	3855897.385	3353558.405	4055228.723	4259417.019	5247412.117	2911787.8	3699143.044	3155178.866	3740373.996	4266904.439	3328214.457	3234047.821	4036077.862	3018617.663	3455139.224	3840202.32	3718678.672	2334316.22	2436820.727	2559381.136	2433884.209	2102222.476	2647247.314	3415477.363	3818276.238	2522460.801	2678528.113	2325268.67	2367029.175	2004955.664	1925659.27	1988836.437	1864695.636	1814169.308	2020579.952
IS MG 17:0; [M+NH4]+	IS MG 17:0; [M+NH4]+	362.326	362.327	3.16	24.27625308	69998.92061	77252.48895	74181.59959	58982.1231	56309.48225	71335.76954	61011.03753	71738.41756	84552.41162	66266.19833	68430.61627	70921.88746	61511.64867	38721.37988	72088.31152	88566.05102	73788.21334	49126.72498	90014.22427	74848.07725	74378.87064	69697.0261	16382.84968	84051.66121	89582.45427	77226.20595	88244.65868	84234.83677	76801.61161	75631.89446	79406.29125	77613.87283	99984.46933	74446.39892	68849.69982	81648.82695	80712.51406	86658.42574	75147.06757	67517.98238	71813.7244	87262.81878	86097.26032	73133.92983	63578.7016	86182.12636	82238.55149	89754.44611	90380.83035	56583.27334	75095.28652	65623.17139	79337.88117	88595.22313	59232.53704	63073.03798	79268.74297	69786.10326	67975.3975	70856.78436	77589.33516	73361.61572	75138.78279	74770.75097	78736.24585	63048.56757	55685.79575	69368.35808	69321.89053	77943.86486	66201.67515	33659.36136	31204.34356	59364.90614	53649.16325	66371.96613	56320.80888	58878.61349	53662.00092
IS PC 34:0; [M+H]+	IS PC 34:0; [M+H]+	762.6002	762.6012	7.4	16.21274442	3579396.775	3668917.363	3244944.523	3388511.522	3169005.614	3192765.963	3258540.747	1383548.288	1494388.48	1787748.597	1751685.94	1517230.781	1270982.183	1138608.52	1248037.189	1753888.302	1902348.714	1888726.405	1600324.209	1246772.358	1209608.713	1459881.227	1729487.231	1582746.725	1580412.98	1290792.277	1590794.135	1426720.043	1459616.206	1637141.909	1250462.173	1584645.816	1774988.524	1241251.211	1193398.988	2160360.969	1941807.241	1509806.23	1667794.722	1351432.512	1494377.594	1359711.129	1590286.717	1549732.393	1803076.832	1807912.839	1815922.301	1528089.23	1803637.053	1224339.863	2071513.58	1523023.364	1735966.728	1716419.661	1987764.402	1394110.646	1662835.583	1278651.44	1332198.046	1946638.842	2264431.061	1836873.301	1575190.633	1922478.293	1239097.052	1811880.415	1211574.604	1709171.78	1549159.411	1472625.141	1379392.517	2236581.958	2011029.685	1644799.922	1498693.574	1501006.78	1671911.253	1444114.701	1649304.189
IS PE 34:0; [M+H]+	IS PE 34:0; [M+H]+	720.5533	720.5543	7.4	12.58471733	1808661.429	1738556.743	1607885.517	1649708.591	1523821.487	1657459.661	1617435.817	599257.5863	591434.369	815917.8131	610927.9241	554933.2834	490161.955	360531.2391	492956.7005	564739.3381	618250.5929	705430.6988	576782.3996	473871.9001	443513.688	465417.8313	654097.0275	564632.8118	580747.1543	477227.8058	667884.5805	537388.2798	502245.0709	573944.6605	472856.414	529720.7335	634194.2513	524812.8584	517077.2426	742548.9664	653750.0203	631785.2945	503481.7523	532093.8767	554623.3244	491086.6894	624588.5308	593685.007	670073.1336	633559.0777	574353.933	560811.1163	637498.218	398354.3956	657908.9775	544438.5711	660553.7568	661141.7577	748859.4897	553695.8368	618054.5891	505166.9511	506182.0914	714758.9472	771117.2551	650381.2236	589766.3425	640715.0846	527738.336	591225.4781	439713.8883	599827.9739	605975.8842	563767.7398	474854.675	1030872.915	962501.7867	795837.2984	760657.422	759548.0623	774929.7924	760138.5737	817036.0603
IS PS 34:0;[M+H]+	IS PS 34:0;[M+H]+	764.5431	764.5441	6.3	14.51762021	272363.3514	231681.7431	245162.9527	199084.8303	207965.9927	231113.8958	218986.7273	105990.6589	65360.90886	141224.6729	133372.5968	84138.14047	98133.66398	106540.0225	95875.96752	111917.9529	84978.2527	100892.6945	105423.6551	77781.93418	74206.2955	126880.6597	80943.19793	99055.81795	73014.37148	78792.39788	51640.99493	96253.45909	132423.8778	88472.33449	55976.80942	147219.0855	74745.42585	114230.8224	129126.6168	84897.26203	111050.2933	87021.11908	113010.6131	148374.5225	68177.20855	72908.91759	104120.1396	63957.02216	52715.8934	105393.5343	53837.95473	54869.30593	121217.3988	45799.56275	105476.2465	97811.43216	86731.48321	128631.2344	77911.97216	65838.70974	108597.6543	66110.92458	83010.88746	138252.2655	133226.4574	87290.21402	126356.5706	111568.6711	91774.38257	132530.5759	127079.1204	91050.51356	102543.9614	121730.4487	71949.43538	107048.3094	131104.7976	107435.2649	124918.4085	129335.8994	87715.50294	94225.8403	122495.5401
IS SM 35:1;[M+H]+	IS SM 35:1;[M+H]+	717.59	717.591	6.3	12.79506013	2484124.565	2495805.343	2415626.652	2282085.23	2241243.78	2339183.597	2410895.135	1240587.816	1005476.715	1272888.726	1119191.524	1199861.796	799724.7455	562618.8809	462419.3598	788973.9506	870615.0321	778070.8441	1150559.526	657965.1375	594392.0032	1029592.981	559813.1962	965625.5052	1280790.172	699567.4521	1119552.683	715603.2816	589762.121	1030715.734	887764.6949	1412846.54	1158777.444	873750.6234	880753.4817	2178926.371	1786559.427	1268040.462	1531427.664	1254540.636	687946.4171	896511.447	728768.5767	1172516.555	814997.235	432153.506	1484107.093	714796.3571	822321.2157	911848.8856	777155.5158	1069628.706	739355.6661	864684.6425	1339233.902	719329.1369	925614.5372	670891.5302	605129.1182	1093516.945	1541466.766	884805.9651	1136691.85	1216907.139	706764.4669	1118597.113	756647.8	1224006.385	1000620.27	606631.1525	608905.162	950647.63	924465.9071	792030.5152	726410.522	654577.4053	746629.3432	744096.82	760838.46
